sep=,
Date,Time,Score
14-05-2020,13:47:17 nachm. +02,2
14-05-2020,13:48:31 nachm. +02,2
15-05-2020,10:09:08 vorm. +02,1
15-05-2020,12:13:30 nachm. +02,3
15-05-2020,12:13:37 nachm. +02,1
19-05-2020,12:41:19 nachm. +02,1
19-05-2020,12:42:38 nachm. +02,1
19-05-2020,12:42:38 nachm. +02,1
19-05-2020,12:43:09 nachm. +02,1
19-05-2020,12:43:09 nachm. +02,1
19-05-2020,12:43:09 nachm. +02,1
19-05-2020,12:44:11 nachm. +02,1
19-05-2020,12:44:11 nachm. +02,1
19-05-2020,12:44:11 nachm. +02,1
19-05-2020,12:44:11 nachm. +02,1
19-05-2020,12:45:10 nachm. +02,1
19-05-2020,12:45:10 nachm. +02,1
19-05-2020,12:45:10 nachm. +02,1
19-05-2020,12:45:10 nachm. +02,1
19-05-2020,12:45:10 nachm. +02,1
20-05-2020,09:25:13 vorm. +02,2
20-05-2020,13:10:14 nachm. +02,2
20-05-2020,16:37:10 nachm. +02,2
20-05-2020,16:42:20 nachm. +02,2
20-05-2020,17:02:12 nachm. +02,2
20-05-2020,17:12:35 nachm. +02,2
25-05-2020,12:03:09 nachm. +02,2
25-05-2020,12:06:18 nachm. +02,2
25-05-2020,12:10:09 nachm. +02,2
25-05-2020,12:11:16 nachm. +02,2
25-05-2020,13:39:20 nachm. +02,2
25-05-2020,14:25:28 nachm. +02,2
25-05-2020,14:25:52 nachm. +02,2
25-05-2020,14:25:52 nachm. +02,2
25-05-2020,17:26:28 nachm. +02,2
